"2024","Barletta","Cabrio","C24UE","25'2""","Mercury 250 4S","H24035","Buckeye Sports","Huron","116242.00","88994.00","2024-10-26"
"2024","Barletta","Corsa","X25UEA","25'","MERCURY 300 VERADO","N24004","Buckeye Sports","Peninsula","158089.00","129135.00","2024-10-26"
"2024","Barletta","Lusso","L23M","23'6""","MERCURY 300 VERADO","N24256","Buckeye Sports","Peninsula","166684.00","135941.00","2024-10-26"
"2024","Barletta","Lusso","L23M","25'6""","Mercury 300L Verado V8","H24037","Buckeye Sports","Huron","166984.00","139016.00","2024-10-26"
"2025","Barletta","Aria","22","22'","Mercury 150 4S","H25003","Buckeye Sports","Huron","81285.00","62508.00","2024-10-26"
"2025","Barletta","Aria","A22CC","22'6""","MERCURY 60 ELPT CT 4S","N25028","Buckeye Sports","Peninsula","62295.00","46876.00","2024-10-26"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 150 4S","N25001","Buckeye Sports","Peninsula","74745.00","57282.00","2024-10-26"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 200 V-6 4S","N25002","Buckeye Sports","Peninsula","82241.00","63542.00","2024-10-26"
"2025","Barletta","Aria","A22UC","22'6""","MERCURY 150 4S","N25032","Buckeye Sports","Peninsula","78840.00","59958.00","2024-10-26"
"2025","Barletta","Aria","A24QC","24'6""","MERCURY 250 V-8","N25029","Buckeye Sports","Peninsula","96176.00","73661.00","2024-10-26"
"2023","Princecraft","Vectra®","23XT","N/A","N/A","WFPC23108","Buckeye Sports","Huntsville Marine","61597.00","N/A","2024-10-26"
"2023","Princecraft","Vogue®","23","N/A","N/A","WFPC23116","Buckeye Sports","Huntsville Marine","142755.00","N/A","2024-10-26"
"2022","Princecraft","VECTRA","23","17'6""","N/A","BCFPR22128","Buckeye Sports","Huntsville Marine","55678.00","N/A","2024-10-26"
"2025","Barletta","N/A","23U","N/A","N/A","25-3802","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-26"
"2025","Barletta","N/A","A20UC","N/A","N/A","03H425","Buckeye Sports","Huntsville Marine","74614.00","N/A","2024-10-26"
"2025","Barletta","N/A","A20UC","N/A","N/A","25-3801","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-26"
"2025","Barletta","N/A","C22U","N/A","N/A","04H425","Buckeye Sports","Huntsville Marine","117025.00","N/A","2024-10-26"
"2025","Princecraft","Vectra","19","N/A","N/A","15G425","Buckeye Sports","Huntsville Marine","40262.00","N/A","2024-10-26"
"2025","Princecraft","Vectra","21RL","N/A","N/A","77G425","Buckeye Sports","Huntsville Marine","54668.00","N/A","2024-10-26"
"2025","Princecraft","Vectra","21RL","N/A","N/A","69G425","Buckeye Sports","Huntsville Marine","53370.00","N/A","2024-10-26"
"2024","Barletta","Aria","22UC","N/A","N/A","24-3769","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-26"
"2024","Barletta","Cabrio","22UC","N/A","N/A","24-3777","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-26"
"2024","Barletta","Corsa","23UA","N/A","N/A","68I324","Buckeye Sports","Huntsville Marine","160839.00","N/A","2024-10-26"
"2024","Barletta","Corsa","23UCA","N/A","Yamaha VF 360 V Max SHO 4.2L","BI24134","Buckeye Sports","Lefroy Harbour Resorts","N/A","N/A","2024-10-26"
"2024","Harris","Cruiser","190","N/A","N/A","N/A","Buckeye Sports","Wawautosa Marina","N/A","N/A","2024-10-26"
"2024","Princecraft","Jazz","19-4S","19'","Mercury 60ELPT CT","01G324","Buckeye Sports","Desmasdons Boatworks","33652.00","N/A","2024-10-26"
"2024","Princecraft","Vectra","21RL","N/A","N/A","87K324","Buckeye Sports","Baysville Marina","56796.00","N/A","2024-10-26"
"2024","Princecraft","Vectra®","21L","N/A","N/A","74K324","Buckeye Sports","Huntsville Marine","41911.00","N/A","2024-10-26"
"2024","Princecraft","Vectra®","21RL","N/A","N/A","65K324","Buckeye Sports","Huntsville Marine","56992.00","N/A","2024-10-26"
"2024","Princecraft","Vectra®","23WRL","N/A","N/A","25K324","Buckeye Sports","Huntsville Marine","67297.00","N/A","2024-10-26"
"2023","Barletta","Corsa","23QC","N/A","N/A","34K223","Buckeye Sports","Lefroy Harbour Resorts","N/A","N/A","2024-10-26"
"2023","Barletta","Lusso","23U","N/A","VF250XB","23-3593","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-26"
"2023","Harris","Cruiser","210CS","N/A","N/A","HR-53L223","Buckeye Sports","Gordon Bay On Lake Muskoka","58969.00","N/A","2024-10-26"
"2023","Harris","Sunliner","230-Sport","N/A","Mercury","HR-28C323","Buckeye Sports","Gordon Bay On Lake Muskoka","98552.00","N/A","2024-10-26"
"2023","Princecraft","Quorum®","23XT","N/A","N/A","16J223","Buckeye Sports","Huntsville Marine","98935.00","N/A","2024-10-26"
"2023","Princecraft","Sportfisher","21-2S","N/A","N/A","96E323","Buckeye Sports","Huntsville Marine","54981.00","N/A","2024-10-26"
"2023","Princecraft","VECTRA","23","N/A","N/A","WFPC23100","Buckeye Sports","Huntsville Marine","60432.00","N/A","2024-10-26"
"2023","Princecraft","Vectra","23XT","N/A","Mercury 150XL","37J223","Buckeye Sports","Desmasdons Boatworks","62603.00","N/A","2024-10-26"
"2023","Princecraft","Vectra®","23","N/A","N/A","WFPC23111","Buckeye Sports","Huntsville Marine","60861.00","N/A","2024-10-26"
